ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
1,Women,Canada,Meghan,Agosta,148,5'7,2/12/87,Ruthven,Ont.,Forward,35,5.58,67,23
2,Women,Canada,Rebecca,Johnston,148,5'9,9/24/89,Sudbury,Ont.,Forward,32,5.75,69,22
3,Women,Canada,Laura,Stacey,156,5'10,5/5/94,Kleinburg,Ont.,Forward,27,5.83,70,22
4,Women,Canada,Jennifer,Wakefield,172,5'10,6/15/89,Pickering,Ont.,Forward,32,5.83,70,25
5,Women,Canada,Jillian,Saulnier,144,5'5,3/7/92,Halifax,N.S.,Forward,30,5.42,65,24
6,Women,Canada,Mélodie,Daoust,159,5'6,1/7/92,Valleyfield,Que.,Forward,30,5.5,66,26
7,Women,Canada,Bailey,Bram,150,5'8,9/5/90,St. Anne,Man.,Forward,31,5.67,68,23
8,Women,Canada,Brianne,Jenner,156,5'9,5/4/91,Oakville,Ont.,Forward,30,5.75,69,23
9,Women,Canada,Sarah,Nurse,140,5'8,1/4/95,Hamilton,Ont.,Forward,27,5.67,68,21
10,Women,Canada,Haley,Irwin,170,5'7,6/6/88,Thunder Bay,Ont.,Forward,33,5.58,67,27
11,Women,Canada,Natalie,Spooner,180,5'10,10/17/90,Scarborough,Ont.,Forward,31,5.83,70,26
12,Women,Canada,Emily,Clark,130,5'7,11/28/95,Saskatoon,Sask.,Forward,26,5.58,67,20
13,Women,Canada,Marie-Philip,Poulin,160,5'7,3/28/91,Beauceville,Que.,Forward,31,5.58,67,25
14,Women,Canada,Blayre,Turnbull,155,5'7,7/15/93,Stellarton,N.S.,Forward,28,5.58,67,24
15,Women,Canada,Jocelyne,Larocque,139,5'6,5/19/88,Ste. Anne,Man.,Defence,33,5.5,66,22
16,Women,Canada,Brigette,Lacquette,180,5'6,10/11/92,Mallard,Man.,Defence,29,5.5,66,29
17,Women,Canada,Lauriane,Rougeau,167,5'8,4/12/90,Beaconsfield,Que.,Defence,32,5.67,68,25
18,Women,Canada,Laura,Fortino,137,5'4,1/30/91,Hamilton,Ont.,Defence,31,5.33,64,24
19,Women,Canada,Meaghan,Mikkelson,139,5'9,1/4/85,St. Albert,Alta.,Defence,37,5.75,69,21
20,Women,Canada,Renata,Fast,144,5'6,10/6/94,Burlington,Ont.,Defence,27,5.5,66,23
21,Women,Canada,Shannon,Szabados,146,5'8,8/6/86,Edmonton,Alta.,Goalie,35,5.67,68,22
22,Women,Canada,Geneviève,Lacasse,136,5'8,5/5/89,Kingston,Ont.,Goalie,32,5.67,68,21
23,Women,Canada,Ann-Renée,Desbiens,160,5'9,4/10/94,La Malbaie,Que.,Goalie,28,5.75,69,24
24,Men,Canada,Gilbert,Brulé,190,5'11,1/1/87,Vancouver,B.C.,Forward,35,5.92,71,26
25,Men,Canada,Wojtek,Wolski,220,6'3,2/24/86,Toronto,Ont.,Forward,36,6.25,75,27
26,Men,Canada,Derek,Roy,187,5'9,5/4/83,Rockland,Ont.,Forward,38,5.75,69,28
27,Men,Canada,Chris,Kelly,194,6'0,11/11/80,Toronto,Ont.,Forward,41,6,72,26
28,Men,Canada,Rob,Klinkhammer,214,6'3,8/12/86,Lethbridge,Alta.,Forward,35,6.25,75,27
29,Men,Canada,Brandon,Kozun,170,5'8,3/8/90,Calgary,Alta.,Forward,32,5.67,68,26
30,Men,Canada,Quinton,Howden,190,6'2,1/21/92,Oakbank,Man.,Forward,30,6.17,74,24
31,Men,Canada,René,Bourque,216,6'2,12/10/81,Lac La Biche,Alta.,Forward,40,6.17,74,28
32,Men,Canada,Andrew,Ebbett,176,5'9,1/2/83,Vernon,B.C.,Forward,39,5.75,69,26
33,Men,Canada,Mason,Raymond,179,6'1,9/17/85,Cochrane,Alta.,Forward,36,6.08,73,24
34,Men,Canada,Eric,O’Dell,201,6'1,6/21/90,Ottawa,Ont.,Forward,31,6.08,73,27
35,Men,Canada,Maxim,Lapierre,216,6'0,3/29/85,Brossard,Que.,Forward,37,6,72,29
36,Men,Canada,Linden,Vey,190,6'0,7/17/91,Wakaw,Sask.,Forward,30,6,72,26
37,Men,Canada,Christian,Thomas,174,5'9,5/26/92,Toronto,Ont.,Forward,29,5.75,69,26
38,Men,Canada,Karl,Stollery,181,5'11,11/21/87,Camrose,Alta.,Defence,34,5.92,71,25
39,Men,Canada,Chris,Lee,187,6'0,10/3/80,MacTier,Ont.,Defence,41,6,72,25
40,Men,Canada,Chay,Genoway,170,5'9,12/20/86,Morden,Man.,Defence,35,5.75,69,25
41,Men,Canada,Marc-Andre,Gragnani,205,6'3,3/11/87,L’Île-Bizard,Que.,Defence,35,6.25,75,26
42,Men,Canada,Stefan,Elliott,190,6'1,1/30/91,Vancouver,B.C.,Defence,31,6.08,73,25
43,Men,Canada,Cody,Goloubef,200,6'1,11/30/89,Oakville,Ont.,Defence,32,6.08,73,26
44,Men,Canada,Mat,Robinson,185,5'10,6/20/86,Calgary,Alta.,Defence,35,5.83,70,27
45,Men,Canada,Maxim,Noreau,198,6'0,5/24/87,Montreal,Que.,Defence,34,6,72,27
46,Men,Canada,Ben,Scrivens,181,6'2,9/11/86,Spruce Grove,Alta.,Goalie,35,6.17,74,23
47,Men,Canada,Kevin,Poulin,205,6'2,4/12/90,Montreal,Que.,Goalie,32,6.17,74,26
48,Men,Canada,Justin,Peters,210,6'1,8/30/86,Blyth,Ont.,Goalie,35,6.08,73,28
49,Women,USA,Cayla,Barnes,145,5'1,1/7/99,Eastvale,Calif.,Defence,23,5.08,61,27
50,Women,USA,Kacey,Bellamy,145,5'7,4/22/87,Westfield,Mass.,Defence,35,5.58,67,23
51,Women,USA,Hannah,Brandt,150,5'6,11/27/93,Vadnais Heights,Minn.,Forward,28,5.5,66,24
52,Women,USA,Dani,Cameranesi,148,5'5,6/30/95,Plymouth,Minn.,Forward,26,5.42,65,25
53,Women,USA,Kendall,Coyne,123,5'2,5/25/92,Palos Heights,Ill.,Forward,29,5.17,62,22
54,Women,USA,Brianna,Decker,150,5'4,5/13/91,Dousman,Wis.,Forward,30,5.33,64,26
55,Women,USA,Meghan,Duggan,164,5'10,9/3/87,Danvers,Mass.,Forward,34,5.83,70,24
56,Women,USA,Kali,Flanagan,142,5'4,9/19/95,Burlington,Mass.,Defence,26,5.33,64,24
57,Women,USA,Nicole,Hensley,155,5'7,6/23/94,Lakewood,Colo.,Goalie,27,5.58,67,24
58,Women,USA,Megan,Keller,160,5'11,5/1/96,Farmington,Mich.,Defence,26,5.92,71,22
59,Women,USA,Amanda,Kessel,136,5'5,8/28/91,Madison,Wis.,Forward,30,5.42,65,23
60,Women,USA,Hilary,Knight,175,5'11,7/12/89,Sun Valley,Idaho,Forward,32,5.92,71,24
61,Women,USA,Jocelyne,Lamoureux-Davidson,150,5'6,7/3/89,Grand Forks,N.D.,Forward,32,5.5,66,24
62,Women,USA,Monique,Lamoureux-Morando,147,5'6,7/3/89,Grand Forks,N.D.,Forward,32,5.5,66,24
63,Women,USA,Gigi,Marvin,159,5'8,3/7/87,Warroad,Minn.,Forward,35,5.67,68,24
64,Women,USA,Sidney,Morin,140,5'5,6/6/95,Minnetonka,Minn.,Defence,26,5.42,65,23
65,Women,USA,Kelly,Pannek,165,5'8,12/29/95,Plymouth,Minn.,Forward,26,5.67,68,25
66,Women,USA,Amanda,Pelkey,135,5'3,5/29/93,Montpelier,Vt.,Forward,28,5.25,63,24
67,Women,USA,Emily,Pfalzer,125,5'3,6/14/93,Buffalo,N.Y.,Defence,28,5.25,63,22
68,Women,USA,Alex,Rigsby,150,5'7,1/3/92,Delafield,Wis.,Goalie,30,5.58,67,23
69,Women,USA,Maddie,Rooney,145,5'5,7/7/97,Andover,Minn.,Goalie,24,5.42,65,24
70,Women,USA,Haley,Skarupa,140,5'6,1/3/94,Rockville,Md.,Forward,28,5.5,66,23
71,Women,USA,Lee,Stecklein,175,6'0,4/23/94,Roseville,Minn.,Defence,28,6,72,24
